CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
30000;MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA;CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA;28/11/2017;C3 PARKING ESTACIONAMENTOS LTDA [AUTOVAGAS HOTEL IBIS BUDGET SAO PAULO];40
30000;MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA;CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA;27/11/2017;C3 PARKING ESTACIONAMENTOS LTDA [AUTOVAGAS HOTEL IBIS BUDGET SAO PAULO];40
30000;MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA;CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA;28/11/2017;C3 PARKING ESTACIONAMENTOS LTDA [AUTOVAGAS HOTEL IBIS BUDGET SAO PAULO];40
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;ACADEMIA MILITAR DAS AGULHAS NEGRAS;06/12/2017;LANCHONETE, RESTAURANTE E POUSADA CATAVENTO LTDA;38
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2 BATALH�O FERROVI�RIO;18/04/2017;HOTEL E RESTAURANTE SONHO VERDE LTDA - ME [SONHO VERDE];35.5
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;COMANDO DE ARTILHARIA DIVISIONARIA DA 1 DE;27/04/2017;HOSTESS HOTEL S/A;30.7
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;9 BATALHAO DE ENGENHARIA DE CONSTRUCAO;23/07/2017;NOVA POUSADA PINHEIRO LTDA - ME [NOVA POUSADA PINHEIRO];30
28000;MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS;INSTIT.NAC. DE METROL. QUALID. E TECNOLOGIA;SUPERINTENDENCIA DO INMETRO NO ESTADO DO RS;13/12/2017;HOTEL ELEVADO LTDA [HOTEL ELEVADO];30
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2 BATALH�O FERROVI�RIO;25/11/2017;VIA MONTES ALIMENTACAO E HOSPEDAGEM LTDA - ME [HOTEL E RESTAURANTE VIA MONTES];29.5
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;2 BATALHAO DE ENGENHARIA DE CONSTRUCAO;29/06/2017;A J R DE MELO - ME [POUSADA E ARMARINHO];25
