CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE GOIAS;UNIVERSIDADE FEDERAL DE GOIAS;25/09/2017;LEVE ALIMENTOS LTDA [SUPERMERCADO LEVE];314.5
39000;MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL;MINIST.DOS TRANSP.,PORTOS E AVIAC.CIVIL-MTPAC;REDE FERROVIARIA FEDERAL S.A- INVENTARIANCA;06/10/2017;MULTI NOX EQUIPAMENTOS PARA RESTAURANTES LTDA;314.5
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO AMAPA;01/06/2017;RACHEL LOIOLA & CIA LTDA [SUPERMERCADO FAVORITO];314.46
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO CEARA;12/06/2017;RABELO SUPERMERCADOS LTDA - EPP [SUPERMERCADOS RABELO];314
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM GOIAS;17/03/2017;RIO VERMELHO SUPERMERCADOS LTDA [RIO VERMELHO ATACADO E VAREJO];313.73
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;18/09/2017;BIGATON COMERCIO DE ALIMENTOS LTDA - ME [SUPERMERCADO BIGATON];313.51
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM GOIAS;28/07/2017;CABRAL E MAIA LTDA [CAMPEAO SUPERMERCADOS];313.43
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO CEARA;09/08/2017;MAJAN CONFEITARIA;313.15
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;17/09/2017;HOTEL & RESTAURANTE ACAI LTDA - ME [POUSADA & RESTAURANTE ACAI];313
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO C COM G EX;10/11/2017;GILDASIO FERNANDES FONSECA - ME [RESTAURANTE CRUZEIRO];312.73
40000;MINISTERIO DO TRABALHO;MINISTERIO DO TRABALHO;SECRETARIA DE INSPE��O DO TRABALHO - SIT;24/09/2017;ELIZANGELA A S ALMEIDA - EPP [CAIURI CONVENIENCIA FAST-FOOD];312.61
26000;MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;INST.FED.DO RS/CAMPUS OSORIO;21/08/2017;SUPERMERCADOS DALPIAZ LTDA [SUPERMERCADOS DALPIAZ];312.51
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COLEGIO  MILITAR DE BRASILIA;30/01/2017;HYNES AUBONPAIN 41;312.48
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;21/09/2017;SUPERMERCADO SUPERPAO LTDA [SUPERMERCADO SUPERPAO];312.39
